SR.NO,RPID,SITE_NAME_3G,SITE_NAME,TECHNOLOGY,3G_TECH,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
11,CT2041,553_35231_Bakarapeta_CT2041,505_50411_Bakarapeta_CT2041,2G+3G,NSN,13.65278,79.15939,Rural,Bakarapeta,Chinnagottigallu,NH,Exchange,5385.0,"Bakarapeta(V&M),Chittoor DT.",Rajampet,PILER,517194.0,BSNL,BSNL Infra,CT2041,GBT,40.0,39.0,Mono,KATHREIN,NSN,IV,11/22/2006,BTS18K_ID,3.0,4-4-4,30/130/250,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII +,3/13/2017,30/130/250,RRH,3.0,38.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2041,CT2041,,,,,,,,,,200818-YES(Fe+PIL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,200818-YES(Fe+PIL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
12,CT2042,553_35241_BNKadriga_CT2042,504_40131_BNKadriga_CT2042,2G+3G,NSN,13.69625,79.8548,Rural,BNKandriga,Buchinaidu Kandriga,SH,Exchange,5380.0,"BNKandriga(V&M),Chittoor DT.",Tirupati,SRI KALAHASTHI,517640.0,BSNL,BSNL Infra,CT2042,GBT,40.0,40.0,Mono,HIGH WAY,NSN,IV,9/30/2005,S8K_ID,3.0,4-4-4,41/142/298,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII +,3/8/2017,41/142/298,RRH,3.0,38.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2042,CT2042,,,,,,,,,,140818YES(MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),100 Mbps,504.0,140818YES(MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),STD,,
13,CT2045,553_36503_DharmagiriRoad_CT2045,504_41141_DharmagiriRoad_CT2045,2G+3G,NSN,13.68606,79.34196,E-City,Tirumala,Tirupati (Urban),PP,Shelter,5383.0,"Dharmagiri_Road,tirumala road,Chittoor DT.",Tirupati,CHANDRAGIRI,517504.0,NBSNL,BSNL Infra,CT2045,GBT,30.0,25.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV,9/19/2006,MTC_ID,3.0,4-4-4,70/120/160,,OFC,FE,65 Mbps,,,,,,,283.0,Tirupati,V.1,8/5/2012,70/120/160,RRH,3.0,25.0,Mono,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,,,,,,,,,,,,,100 Mbps,,,,,
14,CT2050,553_36382_Knipakam_CT2050,505_50501_Kanipakam_CT2050,2G+3G,NSN,13.27727,79.03935,Rural,Kanipakam,Irala,PP,Exchange,5411.0,"Kanipakam exge,Irala(M),Chittoor DT.",Chittoor,BANGARUPALYAM,517131.0,BSNL,BSNL Infra,CT2050,GBT,40.0,40.0,Mono,KATHREIN,NSN,I,6/4/2004,S12K_ID,3.0,4-4-4,25/110/240,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII +,5/2/2017,25/110/240,RRH,3.0,40.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2050,CT2050,,,,,,CT2050,,,,020918-YES(fx+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),100 Mbps,505.0,030918-YES(fx+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),CTR,,
15,CT2053,553_35282_Kuppam-TE_CT2053,505_50531_Kuppam_CT2053,2G+3G,NSN,12.74673,78.34393,E-City,Kuppam,kuppam,RC,Exchange,5427.0,"kuppam exge,Chittoor DT.",Chittoor,KUPPAM,517425.0,BSNL,BSNL Infra,CT2053,GBT,40.0,40.0,Tri,Agisson,NSN,I,6/4/2004,S12K_ID,3.0,4-4-4,20/170/270,2.0,OFC,E1,,,,,,,,70.0,Tirupati,VII,4/21/2012,20/170/270,RRH,3.0,40.0,TRI,Agisson,OFC,FE,,60 Mbps,,,,,,Tiruapti,,553,CT2053,CT2053,,,,,,,,,,240818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),60 Mbps,505.0,240818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),KPM,,
16,CT2063,553_35323_PESMedicalKuppam_CT2063,505_50631_PESMedicalKuppam_CT2063,2G+3G,NSN,12.79077,78.36563,E-City,Kuppam,kuppam,NH,Room,5427.0,"PESMedical college,Kuppam,Chittoor DT.",Chittoor,KUPPAM,517425.0,NBSNL,BSNL Infra,CT2063,MARR,18.0,30.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV,5/14/2006,S12K_ID,3.0,4-4-4,0/100/240,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII,2/19/2014,0/100/240,RRH,3.0,30.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,45 Mbps,,,,,,Tiruapti,,553,CT2063,CT2063,,,,,,,,,,240818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),45 Mbps,505.0,250818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),KPM,,
17,CT2064,553_35333_Pitchatur_CT2064,504_40161_Pitchatur_CT2064,2G+3G,NSN,13.40089,79.74057,Rural,Pitchatur,Pichatur,NH,Exchange,5401.0,"Pitchatur(V&M),Chittoor DT.",Tirupati,SATYAVEDU,517587.0,BSNL,BSNL Infra,CT2064,GBT,40.0,40.0,Mono,KATHREIN,NSN,IV,3/4/2006,S12K_ID,3.0,4-4-4,109/233/341,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII +,4/21/2017,109/233/341,RRH,3.0,40.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2064,CT2064,,,,,,,,,,300718YES(FX(E1)+MADM1-(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),100 Mbps,504.0,300718YES(FX(E1)+MADM1-(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),STD,,
18,CT2066,553_36651_RRPuram_CT2066,BSC70-40_RRPuram_CT2066A,2G+3G,NSN,13.30895,79.35448,Rural,RRPURAM,Srirangarajapuram,NH,Shelter,5419.0,"R R Puram ,Beside indian oil petrol bunk , pulluru cross road , sri rangarajapuram mandal , chittor district,AP--517167",Tirupati,PUTTUR,517167.0,BSNL,BSNL Infra,CT2066,GBT,40.0,38.0,Mono,KATHREIN,Nortel,IV,12/18/2015,S12K_ID,3.0,4-4-4,80/180/260,,OFC,,,,,BSC67-34_ChinaThayyur_CT2230B,E1,1.0,,67.0,Tirupati,VIII.4,12/30/2019,,RRH,,,,,OFC,FE,,30 Mbps,,,,,,,,553,,,,,CT2066,,,CT2066,BSC67-84_Vadamalpet_CT2078A,ID,2015133687@G/FXW/HYD/3382106/2016@K-19012/G/FVC/HYD/1982154/2013-CFA DT 19/12/16,,30 Mbps,0.0,,,,
19,CT2069,553_35352_SrikalhastiMW_CT2069,504_40191_Srikalahasti_MW_CT2069,2G+3G,NSN,13.75894,79.70275,E-City,Srikalahasti,Srikalahasti,SH,Exchange,5378.0,"Srikalahasti_MW,srikalahasti,Chittoor DT.",Tirupati,SRI KALAHASTHI,517644.0,BSNL,BSNL Infra,CT2069,GBT,100.0,32.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,I,6/4/2004,S12K_ID,3.0,4-4-4,60/190/270,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII,2/6/2014,60/190/270,RRH,3.0,32.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2069,CT2069,,,,,,,,,,090818YES(MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),100 Mbps,504.0,080818YES(MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),SKT,,
20,CT2070,553_36511_Sudharshan_Tirumala_CT2070,504_41151_Sudharshan_Tirumala_CT2070,2G+3G,NSN,13.68036,79.35193,E-City,Tirumala,Tirupati (Urban),PP,Room,5383.0,"Sudharshan_ choultry,Tirumala,Chittoor DT.",Tirupati,CHANDRAGIRI,517504.0,NBSNL,BSNL Infra,CT2070,RTP,9.0,18.0,Tri,Agisson,NSN,IV,9/27/2006,MTC_ID,3.0,2-6-4,10/220/320,,OFC,FE,65 Mbps,,,,,,,504.0,Tirupati,VIII,8/5/2012,10/220/320,RRH,3.0,18.0,TRI,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,,,,,,,,,,,,,100 Mbps,,,,,
21,CT2071,553_36641_Thambalapalli_CT2071,BSC68-11_Thambalapalli_CT2071B,2G+3G,NSN,13.82278,78.44932,Rural,Thamballapalli,Thamballapalle,,Shelter,5368.0,"Thamballapalli(V&M),Chittoor DT.",Rajampet,MADANAPALLI,517418.0,NBSNL,BSNL Infra,CT2071,GBT,40.0,37.0,Dual,XAHT,Nortel,IV,5/6/2006,BTS18K_ID,3.0,4-4-4,0/100/240,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII +,3/25/2017,0/100/240,RRH,3.0,36.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,,,,,,,,CT2071,,,,,100 Mbps,0.0,,,,
22,CT2077,553_36543_mundurMitta_CT2077,504_41161_mundurMitta_CT2077,2G+3G,NSN,13.65843,79.38289,E-City,Mamundurmitta,Tirupati (Urban),PP,Room,5383.0,tirumalad2vashanam; ajineyaswamintemple;tirumala;0517507,Tirupati,CHANDRAGIRI,517520.0,NBSNL,BSNL Infra,CT2077,GBT,100.0,30.0,Mono,HIGH WAY,NSN,IV,10/1/2005,MTC_ID,3.0,4-4-4,12/95/280,,OFC,FE,65 Mbps,,,,,,,504.0,Tirupati,VIII,1/2/2013,12/95/280,RRH,3.0,30.0,Mono,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,,,,,,,,,,,,,100 Mbps,,,,,
23,CT2078,553_35363_Vadamalpet_CT2078,504_40251_Vadamalpet_CT2078,2G+3G,NSN,13.5493,79.5249,Rural,Vadamalapeta,Vadamalapeta,RC,Exchange,5399.0,"bsnl exge,Vadamalpet(V&M),Chittoor DT.",Tirupati,PUTTUR,517551.0,BSNL,BSNL Infra,CT2078,GBT,40.0,37.0,Mono,HIGH WAY,NSN,IV,12/30/2005,S8K_ID,3.0,4-4-4,90/200/350,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII +,4/20/2017,90/200/350,RRH,3.0,37.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,553,CT2078,CT2078,,,,,,,,,,"090618YES(CPE,fe+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21)",45 Mbps,504.0,"290718YES(CPE,fe+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21)",STD,,
24,CT2081,553_35371_Yerpedu_CT2081,504_40261_Yerpedu_CT2081,2G+3G,NSN,13.69362,79.59597,Rural,Yerpedu,Yerpedu,RC,Room,5377.0,"Yerpedu,Chittoor DT.",Tirupati,SRI KALAHASTHI,517619.0,NBSNL,BSNL Infra,CT2081,GBT,40.0,38.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV,4/30/2006,S8K_OD,3.0,2-2-2,0/110/220,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII,7/1/2014,0/110/220,RRH,3.0,38.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2081,CT2081,,,,,,,,,,010818YES(GE+MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),100 Mbps,504.0,010818YES(GE+MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),STD,,
25,CT2098,553_35393_Chinthaparthy_CT2098,505_50981_Chinthaparthy_CT2098,2G+3G,NSN,13.64082,78.70561,Rural,Chinthaparthy,Kalikiri,RC,Exchange,5387.0,"Chintaparti(V).,Chintaparti (M),Chittoor DT.",Rajampet,VAYALPADU,517317.0,BSNL,BSNL Infra,CT2098,GBT,40.0,38.0,Dual,XAHT,NSN,IV.5,9/4/2008,BTS18K_ID,3.0,4-4-4,90/190/280,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII +,5/1/2017,90/190/280,RRH,3.0,38.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2098,CT2098,,,,,CT2098,,,,,070818-YES(FX+PKL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,070818-YES(FX+PKL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
26,CT2107,553_35452_CTSamudram_CT2107,505_51071_CT-Samudram_CT2107,2G+3G,NSN,13.6474,78.56329,Rural,CTSamudram,Madanapalle,RC,Exchange,5392.0,"Ctsamudram,Chittoordt.",Rajampet,MADANAPALLI,517319.0,BSNL,BSNL Infra,CT2107,GBT,40.0,40.0,Dual,XAHT,NSN,IV.5,8/30/2008,BTS18K_ID,3.0,4-4-4,90/180/270,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII +,3/7/2017,90/180/270,RRH,3.0,39.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2107,CT2107,,,,,,,,,,210618-YES(FX+MDP3/8(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,210618-YES(FX+MDP3/8(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
27,CT2108,553_35461_EKM-2_Nagari_CT2108,504_40271_EKM-2_Nagari_CT2108,2G+3G,NSN,13.31931,79.58461,E-City,Nagari,Nagari,SH,Room,5406.0,"EKM-2,Nagari(M),Chittoor DT.",Tirupati,PUTTUR,517590.0,NBSNL,BSNL Infra,CT2108,MARR,15.0,21.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV.5,1/20/2009,BTS18K_ID,3.0,4-4-4,20/180/260,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII,4/24/2014,20/180/260,RRH,3.0,21.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,70 Mbps,,,,,,Tiruapti,,553,CT2108,CT2108,,,,,CT2108,,,,,060718YES(GE+MADM1-3-5(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),70 Mbps,504.0,280718YES(GE+MADM1-3-5(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),EKM,,
